"","text","emotion","polarity"
"250","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"251","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"252","bff prices but no corruption philippine government defends deal with chinas sinovac for covid19 vaccine","disgust","negative"
"253","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"254","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"255","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"256","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"257","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"258","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"259","questionable characters preaching morality to take off the spotlight from them also probably marketing sinovac","disgust","neutral"
"260","philippine president rodrigo duteesaid on monday in a latenight televised address that sinovacs vacci","surprise","positive"
"261","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"262","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"263","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"264","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"265","philippine president rodrigo duteesaid on monday in a latenight televised address that sinovacs","surprise","positive"
"266","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"267","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"268","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"269","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"270","according to chinas sinovac biotech the fastest production cycle of a vaccine takes 48 days and goes through 6","surprise","positive"
"271","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"272","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"273","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"274","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"275","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"276","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"277","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae","surprise","positive"
"278","sinovac says its covid19 vaccine more effective with longer dosing interval

health covid19 vaccine sinovac","joy","positive"
"279","did harry roque just take a swipe at vice ganda following the covid19 vaccine controversy
sinovac
sabongpanlaba","anger","negative"
"280","sinovac scam got burned so dutee downplays so frustrating nda should be an instant dealbreaker in the civiliz","anger","negative"
"281","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin","surprise","positive"
"282","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin","surprise","positive"
"283","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"284","sinovac efficacy data
i might as well eat candy and call it a vaccine","fear","neutral"
"285","brazilian nurse monica calazans 54 became first brazilian to be vaccinated against the novel coronavirus on jan","joy","positive"
"286","on jan 17 brazils national health surveillance agency has approved the emergency use of coronavirus vaccines","fear","negative"
"287","dear secretary duque
trust is being earned not imposed nor requested 
covidvaccine 
sinovac","joy","positive"
"288","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"289","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen","joy","positive"
"290","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun n","anger","positive"
"291","why is repoing vaccine deaths irresponsibly spreading scare stories 
chinas vaccines have not kil","anger","negative"
"292","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"293","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc","fear","neutral"
"294","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc","fear","neutral"
"295","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc","fear","neutral"
"296","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20","fear","negative"
"297","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
